ID,Reaction_ID,donor_mol_wt,donor_heavy_atom_count,donor_hetero_atom_count,donor_h_bond_acceptors,donor_h_bond_donors,donor_tpsa,donor_mol_log_p,donor_fraction_csp3,donor_rotatable_bond_count,donor_ring_count,donor_aliphatic_ring_count,donor_aromatic_ring_count,donor_specified_stereo_centers,donor_unspecified_stereo_centers,donor_oxygen_count,donor_nitrogen_count,donor_sulfur_count,donor_silicon_count,donor_halogen_count,acceptor_mol_wt,acceptor_heavy_atom_count,acceptor_hetero_atom_count,acceptor_h_bond_acceptors,acceptor_h_bond_donors,acceptor_tpsa,acceptor_mol_log_p,acceptor_fraction_csp3,acceptor_rotatable_bond_count,acceptor_ring_count,acceptor_aliphatic_ring_count,acceptor_aromatic_ring_count,acceptor_specified_stereo_centers,acceptor_unspecified_stereo_centers,acceptor_oxygen_count,acceptor_nitrogen_count,acceptor_sulfur_count,acceptor_silicon_count,acceptor_halogen_count
1306,31-013-CAS-1600664,575.683,41.0,9.0,8.0,0.0,91.37,4.8631,0.34375,11.0,5.0,2.0,3.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0,727.93,53.0,9.0,7.0,1.0,94.53,6.1158,0.27272728,12.0,7.0,2.0,5.0,5.0,0.0,7.0,1.0,0.0,1.0,0.0
1307,31-013-CAS-8874229,536.69,38.0,7.0,7.0,0.0,63.22,5.7837,0.38709676,13.0,4.0,1.0,3.0,5.0,0.0,6.0,0.0,1.0,0.0,0.0,1034.256,76.0,13.0,12.0,1.0,140.68,10.414,0.3968254,28.0,9.0,3.0,6.0,10.0,0.0,12.0,1.0,0.0,0.0,0.0
1308,31-013-CAS-804369,527.551,37.0,11.0,10.0,0.0,125.51,2.5949,0.34615386,7.0,4.0,2.0,2.0,5.0,0.0,9.0,1.0,1.0,0.0,0.0,533.602,38.0,9.0,8.0,1.0,102.37,3.6778,0.27586207,8.0,5.0,2.0,3.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0
1309,31-013-CAS-11455285,527.551,37.0,11.0,10.0,0.0,125.51,2.5949,0.34615386,7.0,4.0,2.0,2.0,5.0,0.0,9.0,1.0,1.0,0.0,0.0,533.602,38.0,9.0,8.0,1.0,102.37,3.6778,0.27586207,8.0,5.0,2.0,3.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0
1310,31-013-CAS-1975073,478.654,34.0,5.0,5.0,0.0,36.92,6.2405,0.37931034,11.0,4.0,1.0,3.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,839.869,59.0,18.0,16.0,3.0,228.75,3.0464,0.41463414,16.0,5.0,2.0,3.0,10.0,0.0,16.0,1.0,1.0,0.0,0.0
1311,31-013-CAS-12967646,1045.216,76.0,14.0,14.0,0.0,143.51,10.601,0.27419356,23.0,9.0,2.0,7.0,10.0,0.0,13.0,0.0,1.0,0.0,0.0,572.618,42.0,11.0,8.0,1.0,143.29,4.2562,0.3548387,13.0,5.0,2.0,3.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1312,31-013-CAS-13075539,1045.216,76.0,14.0,14.0,0.0,143.51,10.601,0.27419356,23.0,9.0,2.0,7.0,10.0,0.0,13.0,0.0,1.0,0.0,0.0,572.618,42.0,11.0,8.0,1.0,143.29,4.2562,0.3548387,13.0,5.0,2.0,3.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1313,31-013-CAS-2504423,1045.216,76.0,14.0,14.0,0.0,143.51,10.601,0.27419356,23.0,9.0,2.0,7.0,10.0,0.0,13.0,0.0,1.0,0.0,0.0,572.618,42.0,11.0,8.0,1.0,143.29,4.2562,0.3548387,13.0,5.0,2.0,3.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1314,31-013-CAS-8313698,1045.216,76.0,14.0,14.0,0.0,143.51,10.601,0.27419356,23.0,9.0,2.0,7.0,10.0,0.0,13.0,0.0,1.0,0.0,0.0,572.618,42.0,11.0,8.0,1.0,143.29,4.2562,0.3548387,13.0,5.0,2.0,3.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1315,31-013-CAS-621425,478.95,32.0,9.0,8.0,0.0,80.29,4.1346,0.39130434,5.0,4.0,2.0,2.0,6.0,0.0,7.0,0.0,1.0,0.0,1.0,524.574,38.0,11.0,8.0,2.0,154.29,3.202,0.4814815,13.0,4.0,2.0,2.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1316,31-013-CAS-8168731,996.006,70.0,22.0,21.0,1.0,267.19,3.2888,0.4375,19.0,5.0,2.0,3.0,11.0,0.0,20.0,1.0,1.0,0.0,0.0,1318.64,95.0,19.0,17.0,2.0,195.62,11.0756,0.42105263,34.0,10.0,3.0,7.0,15.0,0.0,17.0,1.0,0.0,1.0,0.0
1317,31-013-CAS-17221620,727.191,51.0,13.0,10.0,0.0,128.75,5.2092,0.23684211,11.0,7.0,3.0,4.0,5.0,0.0,9.0,2.0,1.0,0.0,1.0,572.57,42.0,11.0,9.0,1.0,131.91,2.2736,0.29032257,8.0,6.0,3.0,3.0,5.0,0.0,9.0,2.0,0.0,0.0,0.0
1318,31-013-CAS-16946853,623.727,45.0,9.0,8.0,0.0,91.37,5.9023,0.25,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0,1418.563,105.0,22.0,18.0,1.0,254.51,11.9243,0.30120483,31.0,14.0,5.0,9.0,15.0,0.0,17.0,5.0,0.0,0.0,0.0
1319,31-614-CAS-44041084,598.761,43.0,7.0,7.0,0.0,63.22,7.0776,0.30555555,14.0,5.0,1.0,4.0,5.0,0.0,6.0,0.0,1.0,0.0,0.0,1070.113,79.0,17.0,16.0,1.0,201.12,8.0451,0.24193548,20.0,10.0,3.0,7.0,10.0,0.0,16.0,1.0,0.0,0.0,0.0
1320,31-013-CAS-12262753,334.39,22.0,8.0,8.0,0.0,88.13,1.2794,0.78571427,5.0,1.0,1.0,0.0,5.0,0.0,7.0,0.0,1.0,0.0,0.0,1034.256,76.0,13.0,12.0,1.0,140.68,10.414,0.3968254,28.0,9.0,3.0,6.0,10.0,0.0,12.0,1.0,0.0,0.0,0.0
1321,31-013-CAS-5127134,1137.912,76.0,20.0,15.0,1.0,172.61,10.1687,0.32142857,21.0,8.0,2.0,6.0,10.0,0.0,14.0,1.0,1.0,0.0,4.0,1202.575,83.0,21.0,16.0,3.0,214.1,10.0901,0.38709676,27.0,8.0,2.0,6.0,10.0,0.0,16.0,2.0,0.0,0.0,3.0
1322,31-013-CAS-2927631,555.769,38.0,9.0,7.0,0.0,74.3,5.6338,0.51724136,6.0,5.0,3.0,2.0,6.0,0.0,6.0,1.0,1.0,1.0,0.0,381.454,26.0,9.0,7.0,1.0,113.75,2.6527,0.5882353,8.0,2.0,1.0,1.0,5.0,0.0,5.0,3.0,1.0,0.0,0.0
1323,31-614-CAS-38021984,697.165,49.0,12.0,9.0,0.0,119.52,5.2006,0.21621622,10.0,7.0,3.0,4.0,5.0,0.0,8.0,2.0,1.0,0.0,1.0,1053.046,78.0,19.0,15.0,1.0,225.13,4.9215,0.2542373,15.0,12.0,6.0,6.0,10.0,0.0,15.0,4.0,0.0,0.0,0.0
1324,31-013-CAS-20164630,531.63,38.0,8.0,7.0,0.0,74.3,4.8288,0.33333334,7.0,6.0,3.0,3.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,586.645,43.0,11.0,8.0,1.0,143.29,4.6463,0.375,14.0,5.0,2.0,3.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1325,31-013-CAS-16820821,623.727,45.0,9.0,8.0,0.0,91.37,5.9023,0.25,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0,491.515,36.0,8.0,6.0,1.0,85.3,3.5087,0.2857143,8.0,5.0,2.0,3.0,5.0,0.0,6.0,1.0,0.0,0.0,1.0
1326,31-013-CAS-8851366,623.727,45.0,9.0,8.0,0.0,91.37,5.9023,0.25,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0,491.515,36.0,8.0,6.0,1.0,85.3,3.5087,0.2857143,8.0,5.0,2.0,3.0,5.0,0.0,6.0,1.0,0.0,0.0,1.0
1327,31-013-CAS-11243730,623.727,45.0,9.0,8.0,0.0,91.37,5.9023,0.25,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0,491.515,36.0,8.0,6.0,1.0,85.3,3.5087,0.2857143,8.0,5.0,2.0,3.0,5.0,0.0,6.0,1.0,0.0,0.0,1.0
1328,31-614-CAS-23946122,475.57,34.0,8.0,6.0,0.0,93.52,6.0134,0.26923078,8.0,4.0,1.0,3.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,936.287,63.0,20.0,12.0,4.0,220.9,6.1547,0.5116279,20.0,5.0,2.0,3.0,11.0,0.0,11.0,6.0,0.0,0.0,3.0
1329,31-013-CAS-23242169,592.71,42.0,9.0,9.0,0.0,89.52,5.80122,0.3939394,11.0,5.0,2.0,3.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,579.649,43.0,8.0,7.0,1.0,94.53,4.756,0.25714287,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0
1330,31-013-CAS-20236304,592.71,42.0,9.0,9.0,0.0,89.52,5.80122,0.3939394,11.0,5.0,2.0,3.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,579.649,43.0,8.0,7.0,1.0,94.53,4.756,0.25714287,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0
1331,31-614-CAS-39834134,620.884,43.0,8.0,7.0,0.0,63.22,8.08082,0.45714286,7.0,5.0,2.0,3.0,5.0,0.0,6.0,0.0,1.0,1.0,0.0,595.648,44.0,9.0,8.0,1.0,103.76,4.6268,0.25714287,11.0,6.0,2.0,4.0,5.0,0.0,8.0,1.0,0.0,0.0,0.0
