Template_ID,Donor_Type,Solvent,Solvent_Component_IDs,Catalyst,Catalyst_Component_IDs,Temp_C,Time_min,has_solvent,has_catalyst,has_temp,has_time,Template_Support_Count,Alpha_Success_Count,Beta_Success_Count,Representative_Reaction_ID,Supporting_Reaction_IDs,Supporting_Sources,Condition_Recipe_Completeness,Unique_Full_Reaction_Count
CT_39cbcbff99bfda65,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-10.0,20.0,1,1,1,1,1,0,1,31-010-CAS-16582633,31-010-CAS-16582633,"ARKIVOC (Gainesville, FL, United States) (2013), (2), 112-122",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_3c54dd1bedf6db20,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,40.0,60.0,1,1,1,1,1,0,1,31-010-CAS-10738271,31-010-CAS-10738271,"Journal of Organic Chemistry (2009), 74(21), 8321-8331",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_3c7d3b030d71392b,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-45.0,60.0,1,1,1,1,1,1,0,31-010-CAS-20773553,31-010-CAS-20773553,"World Intellectual Property Organization, WO2018191598 A1 2018-10-18",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_3dab4aa76d911e88,trichloroacetimidate,Chloroform;Dichloromethane,3;11,Trimethylsilyl triflate,3,25.0,180.0,1,1,1,1,1,0,1,31-010-CAS-3640705,31-010-CAS-3640705,"Carbohydrate Research (2002), 337(21-23), 2111-2117",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_3fea175bf3bf2513,trichloroacetimidate,Acetonitrile;Diethyl ether;Tetrahydrofuran,4;6;12,Triethylamine,4,0.0,10.0,1,1,1,1,1,1,0,31-010-CAS-4841724,31-010-CAS-4841724,"Chemical Science (2011), 2(12), 342-2352",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_468a8481bf04ecd4,trichloroacetimidate,Dichloromethane,3,Boron trifluoride etherate,7,25.0,240.0,1,1,1,1,1,0,1,31-010-CAS-23204857,31-010-CAS-23204857,"European Journal of Organic Chemistry (2019), 2019(39), 6631-6645",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_478064002d341ee2,trichloroacetimidate,Dichloromethane,3,Boron trifluoride etherate,7,40.0,90.0,1,1,1,1,1,0,1,31-010-CAS-518399,31-010-CAS-518399,"European Journal of Organic Chemistry (2011), 2011(34), 6864-6876, S6864/1-S6864/24",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_47a115b808d2091e,trichloroacetimidate,Dichloromethane;Ethanol;Isopropanol,3;17;18,Trimethylsilyl triflate,3,25.0,60.0,1,1,1,1,1,1,0,31-006-CAS-18462356,31-006-CAS-18462356,"World Intellectual Property Organization, WO2001085745 A1 2001-11-15",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_47c25e64d4253cd0,trichloroacetimidate,Dichloromethane;Tetrahydrofuran,3;12,Boron trifluoride etherate,7,25.0,30.0,1,1,1,1,1,0,1,31-614-CAS-36199892,31-614-CAS-36199892,"International Journal of Molecular Sciences (2023), 24(4), 3718",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_4807190fe9dfb947,trichloroacetimidate,Dichloromethane,3,Boron trifluoride etherate,7,-20.0,720.0,1,1,1,1,1,0,1,31-010-CAS-22039672,31-010-CAS-22039672,"ChemRxiv (2020), 1-64",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_4ab1f520b70daf2f,trichloroacetimidate,Diethyl ether,4,Triethylamine,4,0.0,60.0,1,1,1,1,1,1,0,31-010-CAS-16587017,31-010-CAS-16587017,"Chemical Science (2013), 4(1), 468-481",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_516bdfb3945118c0,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-35.0,120.0,1,1,1,1,1,1,0,31-010-CAS-8875655,31-010-CAS-8875655,"World Intellectual Property Organization, WO2006129075 A1 2006-12-07",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_52fea005c7713c5b,trichloroacetimidate,Dichloromethane,3,Boron trifluoride etherate,7,-30.0,30.0,1,1,1,1,1,0,1,31-010-CAS-6693563,31-010-CAS-6693563,"Journal of the American Chemical Society (2009), 131(34), 12076-12077",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_545cc20d549b6ee6,trichloroacetimidate,Diethyl ether,4,Trimethylsilyl triflate,3,0.0,15.0,1,1,1,1,1,1,0,31-010-CAS-17927199,31-010-CAS-17927199,"Chemical Communications (Cambridge, United Kingdom) (2017), 53(46), 6227-6230",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_550f14e383d334e3,trichloroacetimidate,Chloroform;Dichloromethane,3;11,Sodium bicarbonate,8,25.0,30.0,1,1,1,1,1,1,0,31-010-CAS-3803419,31-010-CAS-3803419,"Synthesis (2008), (16), 2610-2616",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5583b7c5163d2f4f,trichloroacetimidate,Toluene,5,Boron trifluoride etherate,7,-78.0,300.0,1,1,1,1,1,0,1,31-010-CAS-11980647,31-010-CAS-11980647,"European Journal of Organic Chemistry (2013), 2013(32), 7382-7390",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_558f44e9260ba3d1,trichloroacetimidate,Dichloromethane,3,Tetrabutylammonium iodide,38,-25.0,240.0,1,1,1,1,1,1,0,31-010-CAS-9822906,31-010-CAS-9822906,"Chemistry - A European Journal (2003), 9(1), 140-169",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_55edd308f51ac004,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-20.0,15.0,1,1,1,1,1,1,0,31-010-CAS-11403430,31-010-CAS-11403430,"Organic & Biomolecular Chemistry (2003), 1(13), 2253-2266",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_5608b7782bfc7da6,trichloroacetimidate,Dichloromethane;Diethyl ether,3;4,Boron trifluoride etherate,7,-5.0,60.0,1,1,1,1,1,0,1,31-010-CAS-12558988,31-010-CAS-12558988,"United States, US5874411 A 1999-02-23",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
